Genes,Cytoband,Spearman's Correlation,p-Value,q-Value
MORF4,4q34.1,0.1356233,0.115415787,0.201356127
TNF,6p21.33,-0.135594676,0.115493305,0.20147358
ACOX3,4p16.1,0.135589905,0.115506228,0.20147834
USO1,4q21.1,0.135566051,0.115570863,0.201573291
RUFY3,4q13.3,-0.13555651,0.115596725,0.201600606
CST11,20p11.21,0.135547116,0.115622191,0.201627227
PTTG2,4p14,0.135516096,0.115706312,0.201756119
BABAM2,2p23.2,-0.135504031,0.115739044,0.201795388
LEFTY1,1q42.12,-0.135422928,0.11595926,0.202161508
C1ORF146,1p22.1,-0.13540865,0.115998064,0.202211321
LY6G6D,6p21.33,0.135377009,0.116084087,0.20234343
ODR4,1q31.1,0.135365679,0.116114903,0.202361448
SNCG,10q23.2,-0.135365679,0.116114903,0.202361448
ILDR1,3q13.33,-0.135359017,0.116133025,0.202375185
IL25,14q11.2,0.135355092,0.116143704,0.20237595
SYCE1,10q26.3,-0.135304917,0.116280274,0.202596056
LINC02875,17q23.2,0.135255952,0.116413671,0.202810595
PCP4L1,1q23.3,-0.135217785,0.116517731,0.20297399
IQGAP3,1q22,-0.135189161,0.116595823,0.203092125
LY75,2q24.2,-0.135174849,0.116634884,0.203124358
ISLR,15q24.1,-0.135174849,0.116634884,0.203124358
PAX2,10q24.31,-0.135161956,0.116670079,0.203167748
ZNF57,19p13.3,0.135141453,0.116726066,0.203229429
TMEM144,4q32.1,-0.135141453,0.116726066,0.203229429
UBE2L6,11q12.1,0.135093746,0.116856423,0.203438468
KLF10,8q22.3,0.135046038,0.116986892,0.203647666
HOXA5,7p15.2,0.135031887,0.117025615,0.203697131
C1QTNF12,1p36.33,0.135012976,0.117077376,0.203769281
LAMA4,6q21,-0.135003101,0.117104412,0.203798387
KCNC2,12q21.1,-0.134984882,0.117154305,0.203853434
SIRT5,6p23,0.134984018,0.117156672,0.203853434
GABRG2,5q34,-0.134910232,0.11735891,0.204187352
LFNG,7p22.3,0.13487429,0.117457519,0.204340929
PLK4,4q28.1,0.134859978,0.117496804,0.204391281
RBMXL3,Xq23,-0.134854798,0.117511024,0.204398026
KRTAP10-8,21q22.3,0.13482539,0.117591784,0.204466517
OR10G9,11q24.2,0.13482539,0.117591784,0.204466517
H2BC1,6p22.2,0.13482539,0.117591784,0.204466517
OVCH2,11p15.4,0.13482539,0.117591784,0.204466517
TARBP1,1q42.2,-0.134817041,0.117614721,0.204488408
RTL8A,Xq26.3,0.1348075,0.117640937,0.204515996
ARMC6,19p13.11,0.134740709,0.117824577,0.204795131
RTP1,3q27.3,-0.134739896,0.117826813,0.204795131
TMPRSS11A,4q13.2,-0.134737797,0.117832588,0.204795131
LGSN,6q12,-0.134569688,0.118295811,0.205582142
CACNA2D4,12p13.33,-0.134526025,0.118416355,0.205755445
INSYN1,15q24.1,-0.134526025,0.118416355,0.205755445
DRD5,4p16.1,-0.134511433,0.118456659,0.205807381
FOXD2-AS1,1p33,-0.134502171,0.11848225,0.205833748
WDR82,3p21.2,-0.1344974,0.118495433,0.205838555
GPX6,6p22.1,-0.134448944,0.11862939,0.206053141
SMCHD1,18p11.32,-0.134440151,0.118653711,0.206077273
CTDSP1,2q35,-0.13431134,0.119010435,0.206678667
UNC13C,15q21.3,-0.134303328,0.119032652,0.206699087
ASB6,9q34.11,-0.134292257,0.119063354,0.206734235
ASIP,20q11.22,0.134283356,0.119088043,0.206758938
APEH,3p21.31,0.134277945,0.119103055,0.206766837
PPIL4,6q25.1,0.134263632,0.119142766,0.20681761
CTAG1B,Xq28,-0.134241314,0.119204712,0.206906967
HDX,Xq21.1,0.134220696,0.119261962,0.20697962
LRPPRC,2p21,0.134211154,0.119288462,0.20697962
BUB1B,15q15.1,0.134211154,0.119288462,0.20697962
CXCL16,17p13.2,-0.134211154,0.119288462,0.20697962
SFR1,10q25.1,0.134182529,0.119367991,0.20708125
GJD3,17q21.2,-0.134182529,0.119367991,0.20708125
C4BPB,1q32.1,-0.134105169,0.119583129,0.207436266
PGBD2,1q,-0.134077573,0.119659947,0.207551301
TPGS1,19p13.3,0.134025094,0.119806132,0.207768391
TENM3,4q34.3-q35.1,-0.134025094,0.119806132,0.207768391
FOLH1,11p11.12,-0.13399647,0.119885928,0.207888531
SCGB2A1,11q12.3,0.133985418,0.119916748,0.207923731
DMRT2,9p24.3,-0.133980583,0.119930233,0.207928871
ERICH6B,13q14.13,-0.133976467,0.119941712,0.207930531
GALK2,15q21.1-q21.2,0.133920137,0.120098918,0.208166542
CYBA,16q24.2,0.133920137,0.120098918,0.208166542
PTOV1,19q13.33,0.133915367,0.120112239,0.208171374
FNDC1,6q25.3,-0.133875623,0.120223261,0.208345519
MIR503HG,Xq26.3,-0.13381041,0.120405603,0.208643222
IL36RN,2q14.1,-0.133787212,0.120470519,0.208737406
TOMM34,20q13.12,0.13374839,0.120579216,0.208907429
ZNF600,19q13.42,0.133719765,0.12065941,0.209028043
DEK,6p22.3,0.13368637,0.120753022,0.209171879
EBF4,20p13,-0.133681599,0.120766399,0.209176718
TSEN2,3p25.2,0.133672058,0.120793158,0.209186399
TBC1D10C,11q13.2,0.133672058,0.120793158,0.209186399
FAM186A,12q13.12,-0.133658383,0.120831516,0.209234492
HPD,12q24.31,0.133631666,0.120906487,0.20934597
CYP4A11,1p33,-0.133596642,0.121004821,0.209465633
ENO1,1p36.23,0.133595725,0.121007394,0.209465633
NRIP3,11p15.4,-0.133595725,0.121007394,0.209465633
IKZF3,17q12-q21.1,-0.133566511,0.121089466,0.209589343
SLA,8q24.22,-0.133543247,0.121154852,0.209684152
XYLT2,17q21.33,-0.133533705,0.121181677,0.209712214
GTF2I,7q11.23,-0.133471686,0.121356154,0.209995769
SLC18A2,10q25.3,-0.133466375,0.121371102,0.210003248
KRTAP4-2,17q21.2,-0.133444965,0.121431386,0.21008916
ADAM29,4q34.1,-0.133434462,0.121460965,0.210121941
CNDP2,18q22.3,-0.133409666,0.121530826,0.210224395
C3AR1,12p13.31,-0.133371499,0.121638412,0.210392083
HTR7P1,12p13.1,-0.133352416,0.121692233,0.210466755
MYO1A,12q13.3,-0.133323902,0.121772687,0.210571915
RRM2,2p25.1,-0.133323314,0.121774347,0.210571915
SCGB1B2P,19q13.11,-0.13331425,0.12179993,0.21057931
OVOL1,11q13.1,-0.133314249,0.121799934,0.21057931
C9ORF24,9p13.3,0.133304709,0.121826866,0.210607449
LRRC45,17q25.3,-0.133299938,0.121840336,0.210612311
CCDC78,16p13.3,-0.133271313,0.121921178,0.210715193
ZNF428,19q13.31,0.133271313,0.121921178,0.210715193
C19ORF12,19q12,0.133257001,0.121961614,0.210766648
EPS15,1p32.3,-0.13319021,0.122150455,0.211074534
ZDHHC12,9q34.11,0.13312819,0.122326009,0.211359409
GSTA3,6p12.2,0.133108549,0.122381647,0.211437057
SSX3,Xp11.23,0.133097693,0.122412409,0.211471716
A1BG,19q13.43,0.133090024,0.12243414,0.21149077
FAM227A,22q13.1,-0.133080483,0.122461184,0.211518998
ST6GALNAC1,17q25.1,-0.133066171,0.122501759,0.211570589
PUDP,Xp22.31,0.133056629,0.122528814,0.211598825
EIF3D,22q12.3,0.133051858,0.122542344,0.211603699
KRT86,12q13,-0.133045335,0.122560846,0.211605681
BHLHE22,8q12.3,-0.133043903,0.122564905,0.211605681
USP38,4q31.21,-0.133032775,0.122596474,0.211623208
HOMEZ,14q11.2,-0.133032775,0.122596474,0.211623208
KCNQ2,20q13.33,0.133018463,0.122637083,0.211674818
DNAJB1,19p13.12,0.132994609,0.122704789,0.211773184
LGALS9,17q11.2,-0.132970755,0.122772523,0.211871583
NDST4,4q26,-0.13294339,0.122850265,0.211974898
SH3RF1,4q32.3-q33,-0.132942131,0.122853842,0.211974898
CAPN5,11q13.5,-0.132927818,0.122894518,0.212026569
HLA-E,6p22.1,-0.132918277,0.12292164,0.212054851
METTL27,7q11.23,0.132908735,0.122948767,0.212064627
DNAJB2,2q35,-0.132908735,0.122948767,0.212064627
AKAP10,17p11.2,-0.132856257,0.12309805,0.212285058
SP140L,2q37.1,-0.132856257,0.12309805,0.212285058
ANKRD7,7q31.31,0.132849102,0.123118413,0.212301649
ST13P4,13q14.2,-0.132832403,0.123165952,0.212365094
DRAM1,12q23.2,0.132822862,0.123193121,0.212393409
MMP3,11q22.2,-0.132816925,0.123210028,0.212404028
CHTF8,16q22.1,0.132808549,0.123233883,0.212426622
TGIF2,20q11.23,0.132794237,0.123274655,0.212478372
STAG3,7q22.1,-0.132770383,0.123342632,0.212576999
NFIA,1p31.3,-0.1327513,0.123397035,0.212652215
STK32A,5q32,-0.132717905,0.123492284,0.212797803
WDR45B,17q25.3,0.132670197,0.123628452,0.213013871
PCDHA2,5q31.3,-0.132666059,0.123640268,0.213015659
FTHL17,Xp21.2,-0.132633108,0.123734394,0.213095151
ADAD1,4q27,0.132633108,0.123734394,0.213095151
CT47A9,Xq24,-0.132633108,0.123734394,0.213095151
SNAR-G2,19q13.33,-0.132633108,0.123734394,0.213095151
COX19,7p22.3,0.13262726,0.123751103,0.213095151
ALDH7A1,5q23.2,0.13262726,0.123751103,0.213095151
PTGS1,9q33.2,-0.132622489,0.123764737,0.21310006
CCL19,9p13.3,-0.132598388,0.12383363,0.213200107
LINC01547,21q22.3,0.132593865,0.123846563,0.2132038
CHST11,12q23.3,-0.132579553,0.123887492,0.213255683
SNCB,5q35.2,-0.132574782,0.123901137,0.213260597
ASB9,Xp22.2,0.132560469,0.12394208,0.21331249
DMRTA2,1p32.3,0.132493679,0.124133284,0.213622961
FOXH1,8q24.3,-0.132465686,0.124213487,0.213739171
TNFRSF17,16p13.13,0.132462561,0.124222442,0.213739171
LSMEM2,3p21.31,-0.132441832,0.124281863,0.21381222
GPX5,6p22.1,-0.132437623,0.124293931,0.21381222
PABPC1L,20q13.12,-0.13243643,0.124297354,0.21381222
C8ORF86,8p11.22,-0.13240031,0.124400954,0.213963286
TCF19,6p21.33,0.132398263,0.124406827,0.213963286
CD274,9p24.1,-0.132369639,0.12448898,0.214085948
ADGRL4,1p31.1,0.132345785,0.124557473,0.214185099
CPEB1,15q25.2,-0.132331473,0.124598583,0.21423715
RFPL4B,6q21,-0.132262307,0.124797399,0.214560331
TAF6,7q22.1,0.132245599,0.124845462,0.214624293
SLC25A29,14q32.2,-0.132240828,0.124859189,0.21462922
TP73,1p36.32,-0.132221745,0.124914107,0.214704948
RUFY2,10q21.3,-0.13218835,0.125010258,0.214851528
DNAJC22,12q13.12,0.13212633,0.125188975,0.215139975
SNORA56,Xq28,-0.13208669,0.125303304,0.215315356
KDM3A,2p11.2,-0.132083393,0.125312818,0.215315356
ZNF700,19p13.2,0.132073851,0.125340351,0.215343942
NAXD,13q34,0.132054768,0.125395432,0.215419848
GLIDR,9p12,0.132040456,0.125436755,0.215472107
CCDC69,5q33.1,-0.132030915,0.12546431,0.215500708
RAB5A,3p24.3,-0.132011831,0.125519432,0.21555792
P2RY13,3q25.1,-0.132011831,0.125519432,0.21555792
TH,11p15.5,-0.131975327,0.125624931,0.215709855
C11ORF24,11q13.2,-0.131973665,0.125629734,0.215709855
SOD3,4p15.2,-0.131964124,0.125657321,0.21573848
PCYT2,17q25.3,0.131949812,0.125698711,0.215790794
PAK2,3q29,-0.131906875,0.125822942,0.215981736
NR2C1,12q22,0.131902104,0.125836751,0.215981736
KIF12,9q32,-0.131900042,0.125842721,0.215981736
FOXO1,13q14.11,-0.131883021,0.125892,0.216047551
XRCC3,14q32.33,0.131840084,0.126016378,0.216242223
RGSL1,1q25.3,-0.131828877,0.126048859,0.216257071
IFI44,1p31.1,0.131825772,0.126057859,0.216257071
SIX4,14q23.1,-0.131825772,0.126057859,0.216257071
CWF19L2,11q22.3,0.131758981,0.126251573,0.216570596
OR6C68,12q13.2,0.131733417,0.126325778,0.21667908
MFSD14A,1p21.2,0.131706503,0.126403938,0.216794327
ENTPD2,9q34.3,-0.13169219,0.126445517,0.216846819
FAM241B,10q22.1,0.131668336,0.126514838,0.216946875
LINC01634,22q11.21,-0.131638764,0.126600819,0.21707548
MAPK1IP1L,14q22.3,-0.131634941,0.126611936,0.217075709
ZNF211,19q13.4,-0.131611087,0.126681328,0.21717584
CACNA2D3,3p21.1-p14.3,-0.13158739,0.126750292,0.21727522
SEPTIN9,17q25.3,-0.13156815,0.126806306,0.217341684
SMYD1,2p11.2,-0.131566518,0.126811059,0.217341684
APOF,12q13.3,0.131549219,0.126861439,0.217409177
F2RL2,5q13.3,-0.131520443,0.126945282,0.217533998
BPIFB4,20q11.21,-0.131514818,0.126961675,0.217543228
DNM1P35,15q24.2,-0.131467964,0.127098291,0.217739556
PTGDS,9q34.3,-0.131467964,0.127098291,0.217739556
FCGR2B,1q23.3,0.13144411,0.127167887,0.217839902
PRR19,19q13.2,0.13143934,0.12718181,0.21784487
MPST,22q12.3,0.131405944,0.127279302,0.217992967
OXT,20p13,-0.131390001,0.127325867,0.218053823
PDE6C,10q23.33,-0.13137537,0.127368609,0.218108121
CEP19,3q29,0.131343924,0.127460512,0.218246586
KRT222,17q21.2,0.131334383,0.127488408,0.21827544
PCMT1,6q25.1,0.131281904,0.12764192,0.218519341
RGMA,15q26.1,-0.131229426,0.127795574,0.218744495
FUCA1,1p36.11,0.131229426,0.127795574,0.218744495
IL1RL2,2q12.1,-0.131222087,0.127817074,0.218762348
APLP2,11q24.3,-0.131148323,0.12803332,0.219113483
DUS1L,17q25.3,-0.131124469,0.12810331,0.219214279
OR52H1,11p15.4,-0.131109971,0.128145863,0.219268112
MLKL,16q23.1,-0.131081532,0.128229365,0.219391996
KLF3-AS1,4p14,0.131052908,0.128313455,0.219516864
BMI1,10p12.2,0.131048137,0.128327475,0.219521845
SLCO2A1,3q22.1-q22.2,-0.131033825,0.128369539,0.219536043
XAF1,17p13.2,-0.131029054,0.128383563,0.219536043
SPATA32,17q21.31,-0.131026618,0.128390724,0.219536043
CCL28,5p12,-0.131026217,0.128391902,0.219536043
ZNF732,4p16.3,-0.131023662,0.128399414,0.219536043
WNT10B,12q13.12,-0.131022638,0.128402425,0.219536043
RHBDF1,16p13.3,-0.131000429,0.128467731,0.219628699
IL20,1q32.1,-0.130996283,0.128479925,0.219630547
NTRK1,1q23.1,-0.130986117,0.12850983,0.219662669
FKBP8,19p13.11,-0.130981346,0.128523866,0.219667661
ITPRID1,7p14.3,-0.130957757,0.128593282,0.219767298
GGT3P,22q11.21,-0.130947156,0.128624489,0.219801624
PCSK4,19p13.3,-0.13094318,0.128636193,0.219802619
CHURC1,14q23.3,0.130924097,0.128692385,0.219879624
ZNF549,19q13.43,-0.130900243,0.128762652,0.219980661
KCTD20,6p21.31,-0.130866848,0.128861075,0.220129779
OXA1L,14q11.2,0.130857306,0.128889206,0.220158805
RABL2A,2q14.1,0.130828682,0.128973628,0.22028397
C3ORF49,3p14.1,-0.130801805,0.129052934,0.220400375
DDX3Y,Yq11.221,-0.130738661,0.129239403,0.22069976
DNAL4,22q13.1,0.130685559,0.129396377,0.22094742
TNIP3,4q27,-0.130682038,0.12940679,0.22094742
NELL2,12q12,-0.130604456,0.129636407,0.221320345
SLC34A2,4p15.2,-0.130594914,0.129664668,0.221349472
PBX3,9q33.3,-0.130547207,0.129806046,0.221571677
ZNF528,19q13.41,0.130542436,0.12982019,0.221576683
GPR137B,1q42.3,-0.130528124,0.12986263,0.221629978
ZNF682,19p12,0.13050427,0.129933386,0.221731587
RNF170,8p11.21,0.130485187,0.129990013,0.221809068
CYP2C19,10q23.33,-0.130440825,0.130121724,0.22199548
VCY,Yq11.221,-0.130440825,0.130121724,0.22199548
PSEN2,1q42.13,0.130427938,0.130160006,0.222041623
KCTD18,2q33.1,0.130342064,0.130415316,0.222457957
B4GAT1,11q13.2,0.130337293,0.130429511,0.22246297
HJV,1q21.1,-0.130326572,0.130461416,0.222498185
NMUR1,2q37.1,-0.130308668,0.130514707,0.222569864
CDH6,5p13.3,0.130289585,0.130571528,0.22264755
ALG10B,12q12,0.130260961,0.130656795,0.222754506
SAXO2,15q25.2,0.130260961,0.130656795,0.222754506
APCDD1,18p11.22,-0.130251419,0.130685227,0.222769566
FRK,6q22.1,-0.130248202,0.130694814,0.222769566
HNRNPA1,12q13.13,0.130246649,0.130699444,0.222769566
MME,3q25.2,-0.13022295,0.130770087,0.222835956
SPIDR,8q11.21,0.130222795,0.13077055,0.222835956
C1ORF189,1q21.3,0.130222234,0.130772222,0.222835956
SLC44A1,9q31.1-q31.2,-0.130122609,0.13106952,0.223323298
PROSER2,10p14,-0.130093984,0.131155036,0.22344974
CDC42SE2,5q31.1,0.130060589,0.131254859,0.22359262
PCDHA7,5q31.3,-0.130058358,0.131261528,0.22359262
FBXO43,8q22.2,0.130036735,0.131326197,0.223683498
FECH,18q21.31,0.130027193,0.13135474,0.223693557
FKBP9,7p14.3,0.130027193,0.13135474,0.223693557
F3,1p21.3,-0.130022423,0.131369014,0.223698589
TGFBR3,1p22.1,-0.129993798,0.13145468,0.223825178
SEMA3F,3p21.31,-0.129984256,0.131483245,0.223835245
MBD3,19p13.3,-0.129984256,0.131483245,0.223835245
CDC37L1,9p24.1,0.129955632,0.131568968,0.223961887
RGS3,9q32,0.129893612,0.131754848,0.224258983
NEUROG1,5q31.1,0.12987956,0.131796991,0.224311395
ADAM8,10q26.3,-0.129869758,0.131826393,0.224342118
GRIA1,5q33.2,-0.129864987,0.131840706,0.224347157
SUSD4,1q41,-0.129841134,0.131912288,0.224430315
ARSF,Xp22.33,0.129841134,0.131912288,0.224430315
OR4F21,8p23.3,-0.129824883,0.131961069,0.224493984
C10ORF82,10q25.3,-0.129813804,0.131994337,0.224531251
TFF3,21q22.3,0.129805375,0.132019648,0.22455053
DAPL1,2q24.1,0.129802463,0.132028394,0.22455053
FBXO39,17p13.1,0.129798351,0.132040745,0.22455221
C16ORF86,16q22.1,-0.129769572,0.132127211,0.224679924
ZNF830,17q12,0.129755415,0.132169763,0.224713612
HTR1F,3p12,-0.129755415,0.132169763,0.224713612
GLI3,7p14.1,-0.129745718,0.132198912,0.224729558
PLEKHB1,11q13.4,-0.129740947,0.132213256,0.224729558
ABCC9,12p12.1,-0.129740947,0.132213256,0.224729558
MUC2,11p15.5,-0.129714763,0.132292004,0.224842266
SF3B2,11q13.1,-0.129707552,0.132313695,0.224842266
ZBTB18,1q44,-0.129707552,0.132313695,0.224842266
PHF10,6q27,-0.129702781,0.132328048,0.224847324
KCNIP4-IT1,4p15.2,-0.129697044,0.13234531,0.224857321
POMGNT2,3p22.1,-0.129664615,0.132442917,0.225003815
LY86,6p25.1,0.129635991,0.132529119,0.22512334
NPSR1,7p14.3,-0.129633688,0.132536055,0.22512334
RSU1P2,10q11.21,-0.129626952,0.132556349,0.225138461
HLA-DPB2,6p21.32,0.129617967,0.132583418,0.225165085
SNORA50A,16q21,0.129574911,0.132713202,0.22536613
UST,6q25.1,-0.129554888,0.132773591,0.22544184
RPL13AP3,14q22.3,0.129552564,0.132780601,0.22544184
TNIP1,5q33.1,-0.129540575,0.132816769,0.225483877
ATP6V1A,3q13.31,-0.12950718,0.132917559,0.225635606
ZCCHC12,Xq24,0.129497638,0.132946367,0.225665126
COL20A1,20q13.33,-0.129492868,0.132960773,0.225670196
FHL5,6q16.1,0.129488097,0.13297518,0.225675267
PIAS2,18q21.1,0.129483326,0.132989588,0.22568034
AOAH,7p14.2,-0.129449931,0.133090479,0.225812769
HES6,2q37.3,0.129449931,0.133090479,0.225812769
TFR2,7q22.1,0.129440389,0.133119316,0.225842307
IL20RB,3q22.3,0.129435773,0.133133269,0.225843641
ZACN,17q25.1,-0.129432568,0.133142957,0.225843641
SLC35A3,1p21.2,0.129421306,0.133177003,0.225882004
NLRP7,19q13.42,-0.129400757,0.133239143,0.225968007
KIF21A,12q12,-0.129373599,0.133321306,0.226073635
MYO6,6q14.1,-0.129368828,0.133335743,0.226073635
SNAI3-AS1,16q24.2,-0.129368828,0.133335743,0.226073635
SETD4,21q22.12,0.129354516,0.133379061,0.226127681
PCDHA6,5q31.3,-0.129317947,0.133489788,0.226295993
TBX2,17q23.2,-0.129306808,0.133523531,0.22633378
ZNF202,11q23.3,-0.129297266,0.13355244,0.226363367
FSHB,11p14.1,0.129197906,0.133853761,0.226839428
STX11,6q24.2,-0.12919708,0.133856267,0.226839428
STX12,1p35.3,0.129173226,0.133928685,0.226942691
CD2,1p13.1,0.129115977,0.13410261,0.227198446
FAM234A,16p13.3,-0.129115977,0.13410261,0.227198446
ORAI2,7q22.1,-0.129106436,0.134131614,0.227228106
FANK1,10q26.2,0.129101665,0.134146118,0.227233199
ABCC13,21q11.2,-0.129067876,0.134248876,0.227370744
OR1N1,9q33.2,-0.129067399,0.134250327,0.227370744
CASTOR3,7q22.1,-0.129058728,0.134276707,0.227395936
PIK3AP1,10q24.1,-0.129015791,0.134407394,0.227597749
CD248,11q13.2,-0.12900625,0.134436449,0.227607944
ZNF267,16p11.2,0.12900625,0.134436449,0.227607944
CCDC15,11q24.2,0.128982396,0.134509106,0.227672445
METTL7A,12q13.12,0.128982396,0.134509106,0.227672445
HABP4,9q22.32,-0.128982396,0.134509106,0.227672445
HNRNPA2B1,7p15.2,0.128939459,0.134639966,0.227874423
C14ORF178,14q24.3,-0.128905195,0.134744463,0.228031754
FBXL20,17q12,0.128853585,0.134901976,0.22827877
PURG,8p12,0.128829731,0.134974826,0.228382491
NEK11,3q22.1,0.128815419,0.135018551,0.228436916
SNORA78,16p13.3,0.128746109,0.135230448,0.228775838
MSH5,6p21.33,-0.128729545,0.135281124,0.22884198
E2F8,11p15.1,0.128677067,0.135441777,0.229094132
MMP25,16p13.3,-0.128662755,0.135485617,0.229148674
OR52N2,11p15.4,-0.128658369,0.135499053,0.229151788
ISOC1,5q23.3,0.128653213,0.13551485,0.229158892
LPCAT2,16q12.2,-0.12863413,0.135573329,0.229238168
IL9R,Xq28 and Yq12,-0.128621373,0.135612434,0.229284672
WRAP73,1p36.32,0.128576881,0.135748884,0.229495739
OGDH,7p13,-0.128567339,0.13577816,0.229525598
STAMBPL1,10q23.31,-0.128562569,0.135792799,0.229530713
DAZAP1,19p13.3,-0.128548256,0.135836726,0.229585326
FOXE3,1p33,-0.128531192,0.135889115,0.22965423
SKINT1L,1p33,-0.128519626,0.13592463,0.22969461
FAR2,12p11.22,0.128514861,0.135939264,0.229699698
SNN,16p13.13,-0.128505319,0.135968571,0.229729577
COL4A1,13q34,-0.128462383,0.136100513,0.229932847
PHF13,1p36.31,-0.128457612,0.13611518,0.229937969
BRAP,12q24.12,-0.128452841,0.136129847,0.229943091
B3GALT1,2q24.3,-0.128443299,0.136159186,0.229958467
NPBWR1,8q11.23,-0.12844111,0.136165917,0.229958467
NEDD4,15q21.3,-0.128438529,0.136173857,0.229958467
ABCB11,2q31.1,-0.128411433,0.136257206,0.230079559
SLC24A4,14q32.12,-0.128400363,0.136291269,0.230117416
PALB2,16p12.2,0.128376509,0.136364692,0.230221715
SLC45A1,1p36.23,-0.128371738,0.13637938,0.230226845
ZNF347,19q13.42,-0.12832403,0.136526326,0.230455226
TFCP2L1,2q14.2,-0.12831926,0.136541028,0.230460358
SCN1A,2q24.3,-0.128295406,0.136614552,0.230564765
CDH19,18q22.1,-0.128272164,0.13668622,0.23066602
CACNB2,10p12,-0.12826201,0.136717538,0.230699171
LACRT,12q13.2,0.128248542,0.136759088,0.230734277
LPAR1,9q31.3,-0.128247698,0.136761692,0.230734277
PTPN18,2q21.1,-0.128214303,0.136864762,0.230888459
SPRR2C,1q21.3,-0.12819087,0.136937119,0.230990806
CENATAC,11q23.3,0.128185678,0.136953155,0.23099814
NRG1,8p12,-0.128177665,0.136977906,0.231020171
CCAR2,8p21.3,-0.128161824,0.137026849,0.231082995
UBE2Q2P2,15q25.2,-0.128138351,0.137099398,0.231185614
ZNF738,19p12,0.128095034,0.137233353,0.23137587
OR5AK2,11q12.1,-0.128094294,0.13723564,0.23137587
CLCA3P,1p22.3,-0.128075028,0.137295252,0.231456629
FLT3LG,19q13.33,0.128052097,0.137366231,0.231556535
ZNF546,19q13.2,-0.128018701,0.137469648,0.2317111
STAP2,19p13.3,0.127999618,0.13752877,0.231790984
USP32P2,17p11.2,-0.127961452,0.137647073,0.231970589
AUTS2,7q11.22,-0.127951911,0.13767666,0.231980888
TLCD3B,16p11.2,-0.127951911,0.13767666,0.231980888
EPOP,17q12,-0.12794714,0.137691456,0.23198604
FZD9,7q11.23,-0.127942369,0.137706253,0.231991192
PHF21B,22q13.31,-0.127918515,0.137780256,0.232096078
ADAT2,6q24.2,-0.127899432,0.13783948,0.232176053
GTSE1-DT,22q13.31,-0.127894662,0.137854289,0.232181209
BTBD18,11q12.1,-0.127854415,0.137979267,0.232363318
LUZP4,Xq23,-0.127852271,0.137985928,0.232363318
RNU12-2P,Xp11.23,-0.127841816,0.138018408,0.23239821
AMY1A,1p21.1,-0.127786649,0.138189897,0.232667144
GJB5,1p34.3,-0.127775392,0.138224909,0.232706267
FAM182B,20p11.1,-0.127737226,0.138343667,0.232886362
GABARAPL3,15q26.1,-0.127679702,0.138522809,0.233168067
TMEM25,11q23.3,-0.127622728,0.138700409,0.233447129
RAP2A,13q32.1,-0.127598874,0.138774819,0.233533433
SEMG1,20q13.12,0.127598714,0.13877532,0.233533433
FAM234B,12p13.1,-0.127584562,0.138819479,0.233587855
RNF126P1,17q22,-0.12754439,0.138944889,0.233778975
XAGE1B,Xp11.22,-0.127511819,0.139046636,0.233930253
TNFRSF6B,20q13.33,-0.127493917,0.139102581,0.234004453
KRTAP4-4,17q21.2,-0.127476559,0.139156845,0.234064962
ABHD15,17q11.2,-0.127474834,0.139162238,0.234064962
PDE4D,5q11.2-q12.1,-0.127470063,0.139177155,0.234066023
BHMT,5q14.1,-0.127467057,0.139186556,0.234066023
TCF23,2p23.3,-0.1274469,0.139249598,0.234141442
GLRA1,5q33.1,-0.127445142,0.139255098,0.234141442
ZADH2,18q22.3,-0.127427127,0.139311464,0.234196364
UTP14A,Xq26.1,0.127427127,0.139311464,0.234196364
CAP1,1p34.2,0.127412814,0.139356255,0.234251737
MIR205HG,1q32.2,-0.127395788,0.139409554,0.2343214
PYCR2,1q42.12,-0.127379419,0.139460812,0.23438762
GGNBP2,17q12,-0.127350794,0.139550479,0.234518378
CABP7,22q12.2,-0.127226906,0.139939068,0.235151416
SPACA1,6q15,0.127132392,0.140236074,0.235630466
RUBCNL,13q14.13,0.127093173,0.140359461,0.235817736
LTA4H,12q23.1,0.127078861,0.140404509,0.235873368
SPRR2D,1q21.3,-0.127075001,0.140416658,0.235873727
OCM,7p22.1,0.127069119,0.140435177,0.235884787
JDP2,14q24.3,-0.127050236,0.140494637,0.235944554
AASDHPPT,11q22.3,0.127050236,0.140494637,0.235944554
DPP3,11q13.2,-0.127040695,0.14052469,0.235974972
SPINDOC,11q13.1,0.127031153,0.140554747,0.235985343
CPNE8,12q12,0.127031153,0.140554747,0.235985343
GCLC,6p12.1,-0.12701207,0.140614877,0.236066243
RNF141,11p15.3,0.126978675,0.140720151,0.236208039
RNF128,Xq22.3,-0.126973904,0.140735195,0.236208039
CTHRC1,8q22.3,0.126973904,0.140735195,0.236208039
DNAAF6,Xq22.3,0.126878833,0.141035245,0.236691537
LATS2,13q12.11,-0.126864176,0.141081545,0.236748421
GAD2,10p12.1,-0.12686052,0.141093099,0.236748421
CAMK1,3p25.3,0.126845093,0.141141846,0.236810111
LGALS13,19q13.2,-0.126835385,0.141172531,0.236841488
PBXIP1,1q21.3,-0.126773532,0.141368149,0.23714954
CCDC141,2q31.2,-0.126766527,0.141390316,0.237166594
PGM5,9q21.11,-0.126721053,0.141534279,0.237387929
MAP3K20,2q31.1,-0.126692429,0.141624959,0.237519862
